Step;Average Fitness;Diversity;Improvement;Best;Best Fitness;Best Improvement
0;242948;78;0;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
1;243424;76,5;-0,1959;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
2;243888;76,5;-0,1906;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
3;243226;75,5;0,2714;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
4;243174;76;0,0214;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
5;242452;75;0,2969;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
6;242860;76,5;-0,1683;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
7;243278;72,5;-0,1721;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
8;242714;72,5;0,2318;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
9;242097;70;0,2542;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
10;242427;71;-0,1363;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
11;242452;72,5;-0,0103;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
12;243087;78,5;-0,2619;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
13;242581;71,5;0,2082;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
14;242548;72;0,0136;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
15;242663;72;-0,0474;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
16;242543;72;0,0495;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
17;242872;73;-0,1356;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
18;242489;70;0,1577;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
19;241514;70,5;0,4021;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
20;242187;74;-0,2787;"
N : 12
S0 : {3,4,6,5,9,1,7,10,11,8,12,2}
T0 : 4768,58
Temp_Decrease : 0,90
MaxSteps : 110
Neighbors per Step : 13
";224416;0
